image_path	label_path	name	layer_id	task_id	scale_id
/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_1.png	/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_1_mask_distal.png	1_0_1_dt_HE_im_1.png	1	0	1
/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_100.png	/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_100_mask_distal.png	1_0_1_dt_HE_im_100.png	1	0	1
/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_101.png	/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_101_mask_distal.png	1_0_1_dt_HE_im_101.png	1	0	1
/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_102.png	/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_102_mask_distal.png	1_0_1_dt_HE_im_102.png	1	0	1
/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_103.png	/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_103_mask_distal.png	1_0_1_dt_HE_im_103.png	1	0	1
/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_104.png	/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_104_mask_distal.png	1_0_1_dt_HE_im_104.png	1	0	1
/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_105.png	/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_105_mask_distal.png	1_0_1_dt_HE_im_105.png	1	0	1
/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_106.png	/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_106_mask_distal.png	1_0_1_dt_HE_im_106.png	1	0	1
/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_107.png	/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_107_mask_distal.png	1_0_1_dt_HE_im_107.png	1	0	1
/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_12.png	/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_12_mask_distal.png	1_0_1_dt_HE_im_12.png	1	0	1
/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_13.png	/media/iml1/umair/reconstructed_HATs_data/train/1_0_1_dt/HE/im_13_mask_distal.png	1_0_1_dt_HE_im_13.png	1	0	1
